"geneSymbol","DS_01_58500","DS_02_48905","DS_03_52613","M7_01_817151","M7_02_818438","M7_03_817389"
"ADAM2",0,0,0,0,0,0
"ADAM20",0,1,4,1,3,3
"ADAM20P1",10,1,0,1,5,9
"ADAM21",0,1,0,0,2,0
"ADAM21P1",0,0,0,0,0,0
"ADAM22",60,20,53,72,178,284
"ADAM23",5,2,1,167,4,8
"ADAM28",1502,2115,195,309,89,81
"ADAM29",1,0,0,0,0,0
"ADAM30",0,0,0,0,1,0
"ADAM32",2,1,2,40,121,8
"ADAM33",2,1,1,2,1,0
"ADAM3A",0,0,0,0,0,0
"ADAM5",0,0,0,2,0,0
"ADAM6",0,0,0,0,0,1
"ADAM7",0,0,0,1,0,0
"ADAM8",899,14769,2100,3015,1072,265
"ADAM9",634,853,342,1381,359,242
"ADAMDEC1",24,3,0,0,1,2
"ADAMTS1",32,10,513,164,370,5
"ADAMTS10",151,148,33,592,266,3133
"ADAMTS12",0,0,0,0,0,0
"ADAMTS13",58,45,43,102,236,264
"ADAMTS14",217,266,16,1442,1358,1258
"ADAMTS15",1,0,0,5,0,14
"ADAMTS16",2,1,1,2,0,4
"ADAMTS17",7,25,11,13,10,122
"ADAMTS18",6,0,0,1,0,718
"ADAMTS19",0,0,0,0,13,3
"ADAMTS19-AS1",0,0,0,0,1,0
"ADAMTS2",17,1,8,8,0,10
"ADAMTS20",0,0,1,0,0,0
"ADAMTS3",197,8,195,792,381,798
"ADAMTS4",5,16,89,3,5,2
"ADAMTS5",0,2,2,0,0,0
"ADAMTS6",32,24,3,68,49,143
"ADAMTS7",17,220,9,15,94,465
"ADAMTS7P1",29,5,3,6,2,9
"ADAMTS8",1,0,0,1,2,0
"ADAMTS9",4,4,7,13,45,1
"ADAMTS9-AS1",0,1,0,0,1,0
"ADAMTS9-AS2",0,0,2,0,0,0
"ADAMTSL1",0,0,0,0,0,0
"ADAMTSL2",0,12,5,2,5,5
"ADAMTSL3",0,0,0,0,1,0
"ADAMTSL4",145,1338,696,224,590,315
"ADAMTSL4-AS1",4,8,13,6,5,16
"ADAMTSL5",0,1,13,5,15,1
"ADAP1",360,1393,86,171,161,93
"ADAP2",99,11,8,53,50,70
"ADAR",7407,8997,2367,9105,7682,5343
"ADARB1",529,363,237,449,991,1023
"ADARB2",19,74,0,3,2,57
"ADARB2-AS1",0,0,0,0,0,2
"ADAT1",335,412,259,245,491,423
"ADAT2",1785,735,741,648,1200,1096
"ADAT3",41,43,32,17,53,36
"ADCK1",92,24,484,85,188,74
"ADCK2",211,198,398,262,581,349
"ADCK3",2068,1781,1263,2295,1683,804
"ADCK4",435,432,256,353,908,1045
"ADCK5",58,86,151,146,271,259
"ADCY1",0,2,57,174,405,2
"ADCY10",4,5,4,73,61,14
"ADCY10P1",145,148,79,119,141,186
"ADCY2",0,47,23,4,0,0
"ADCY3",897,724,413,330,92,334
"ADCY4",168,188,61,215,12,16
"ADCY5",2,2,0,0,4,11
"ADCY6",145,1418,34,394,6517,2558
"ADCY7",4122,2504,1216,1744,4169,2884
"ADCY8",0,0,0,1,1,0
"ADCY9",25,10,9,44,19,8
"ADCYAP1",22,2,0,19,36,1
"ADCYAP1R1",0,0,0,0,0,0
"ADD1",4786,6779,3440,4001,5117,4627
"ADD2",1652,399,4340,3049,1373,34
"ADD3",2325,4388,322,1815,2811,243
"ADD3-AS1",12,23,0,4,0,1
"ADGB",3,1,0,0,1,4
"ADGRA1",0,0,0,0,0,0
"ADGRA1-AS1",0,0,0,0,0,0
"ADGRA2",8,336,15,104,22,18
"ADGRA3",592,53,191,306,431,853
"ADGRB1",26,800,19,20,51,11
"ADGRB2",3,15,10,7,3,5
"ADGRB3",0,0,1,19,38,0
"ADGRD1",0,0,1,4,4,0
"ADGRE1",191,315,60,108,147,102
"ADGRE2",1563,3072,139,265,436,747
"ADGRE3",0,6,0,3,16,8
"ADGRE4P",31,13,12,15,54,13
"ADGRE5",1924,6783,7118,4577,1567,1954
"ADGRF1",0,1,0,0,2,0
"ADGRF2",3,0,0,1,0,3
"ADGRF3",64,30,56,38,54,113
"ADGRF4",0,0,0,1,1,0
"ADGRF5",3,4,8,0,0,1
"ADGRG1",100,2704,437,973,3857,1879
"ADGRG2",7,6,0,6,8,10
"ADGRG3",92,3529,316,1240,63,222
"ADGRG4",0,0,0,0,0,0
"ADGRG5",731,2227,75,154,2205,24
"ADGRG6",4,118,0,8,0,10
"ADGRG7",1,576,0,0,1,268
"ADGRL1",145,176,94,172,195,256
"ADGRL2",3,2,2,2,0,0
"ADGRL3",14,0,0,14,2,0
"ADGRL3-AS1",0,0,0,0,0,0
"ADGRL4",0,3,6,7,0,0
"ADGRV1",5,2,35,12,5,6
"ADH1A",1,0,0,0,0,0
"ADH1B",0,0,1,0,0,0
"ADH1C",1,0,0,1,1,0
"ADH4",0,0,0,0,1,1
"ADH5",1090,840,566,1335,1640,941
"ADH6",5,11,8,18,17,15
"ADH7",0,0,0,0,0,0
"ADHFE1",271,190,112,165,226,258
"ADI1",1220,422,626,1200,1841,1402
"ADIG",0,1,0,0,0,0
"ADIPOQ",5,0,4,1,0,1
"ADIPOQ-AS1",0,0,2,0,0,0
"ADIPOR1",2839,2945,3493,5813,2001,1369
"ADIPOR2",1521,1261,1037,2280,2288,1168
"ADIRF",2,32,18,21,37,6
"ADK",420,609,285,391,381,380
"ADM",228,138,1531,118,66,222
"ADM2",0,94,14,20,27,11
"ADM5",303,30,56,98,182,201
"ADNP",2164,1864,991,2574,1656,2302
"ADNP-AS1",83,55,49,68,49,101
"ADNP2",1776,1741,1645,3017,964,1396
"ADO",594,328,168,372,348,195
"ADORA1",0,0,0,1,1,7
"ADORA2A",6,27,8,4,5,9
"ADORA2A-AS1",28,107,15,32,24,31
"ADORA2B",45,54,5,2,90,25
"ADORA3",8,28,4,2,1,3
"ADPGK",2388,2387,1078,2767,1287,1162
"ADPGK-AS1",29,21,24,37,12,35
"ADPRH",116,184,75,91,272,382
"ADPRHL1",3,6,10,69,273,103
"ADPRHL2",495,343,173,359,412,307
"ADPRM",352,623,101,613,305,135
"ADRA1A",0,0,0,0,0,1
"ADRA1B",0,0,0,0,0,1
"ADRA1D",1,0,7,0,0,4
"ADRA2A",2,16,3,2,80,22
"ADRA2B",6,20,11,24,0,0
"ADRA2C",6,6,0,0,0,0
"ADRB1",2,586,74,9,1,1
"ADRB2",111,23,167,13,60,8
"ADRB3",0,0,0,0,0,0
"ADRBK1",19339,15380,5381,12461,5837,3948
"ADRBK2",1580,907,184,497,996,433
"ADRM1",2847,2345,2622,2256,2511,1632
"ADSL",1337,815,686,1040,2299,1325
"ADSS",826,845,348,632,1244,661
"ADSSL1",15,35,28,34,122,402
"ADTRP",15,7,0,4,8,11
"AEBP1",70,936,303,2569,811,323
"AEBP2",765,837,400,985,378,559
"AEN",843,470,1395,782,1139,917
"AES",5839,7470,4931,9025,5779,1860
"AFAP1",23,6,11,187,406,1
"AFAP1-AS1",9,0,0,4,14,0
"AFAP1L1",2,15,5,22,30,199
"AFAP1L2",2,1,2,7,12,4
"AFF1",2416,5202,1962,3675,3312,1585
"AFF2",972,57,94,319,165,46
"AFF3",262,27,65,946,131,101
"AFF4",2904,3466,2673,6399,1528,4624
"AFG3L1P",429,218,339,206,402,585
"AFG3L2",1200,1040,973,1412,1233,787
"AFM",0,0,0,0,0,0
"AFMID",203,148,146,195,643,409
"AFP",0,0,0,0,0,0
"AFTPH",636,1355,604,1757,1131,890
"AGA",328,166,192,546,197,142
"AGAP1",8,3,66,453,895,158
"AGAP1-IT1",0,0,1,1,3,0
"AGAP11",0,6,8,1,16,7
"AGAP2",188,552,121,211,828,1207
"AGAP2-AS1",0,2,1,1,0,13
"AGAP3",142,1037,177,277,280,1198
"AGAP4",105,82,44,36,60,124
"AGAP5",63,26,28,11,66,89
"AGAP6",278,161,126,147,242,289
"AGAP7P",28,6,11,15,48,14
"AGAP9",193,85,116,162,106,134
"AGBL1",0,0,0,0,0,0
"AGBL1-AS1",0,0,0,0,0,0
"AGBL2",58,42,23,18,60,148
"AGBL3",75,36,14,23,58,139
"AGBL4",2,2,0,1,0,2
"AGBL4-IT1",0,0,0,0,0,0
"AGBL5",752,883,577,904,1211,1416
"AGBL5-AS1",0,0,2,0,1,6
"AGER",469,477,465,325,382,572
"AGFG1",2494,2987,1931,4394,1658,1782
"AGFG2",279,101,235,99,198,116
"AGGF1",606,496,264,668,666,389
"AGK",515,405,173,404,712,528
"AGL",515,332,93,585,482,610
"AGMAT",21,15,20,19,143,40
"AGMO",1,2,0,0,0,0
"AGO1",1320,968,228,2113,974,1211
"AGO2",569,1799,1131,825,616,378
"AGO3",242,296,179,341,281,308
"AGO4",2746,2579,419,1204,966,1404
"AGPAT1",587,677,834,597,2110,1421
"AGPAT2",909,1352,307,506,808,731
"AGPAT3",515,469,1222,1330,4052,67
"AGPAT4",561,289,672,3051,759,74
"AGPAT4-IT1",10,10,28,102,22,2
"AGPAT5",786,1218,116,301,687,649
"AGPS",1562,1009,493,1121,1381,1032
"AGR2",0,0,0,2,0,2
"AGR3",0,0,0,0,0,0
"AGRN",423,2261,448,321,67,66
"AGRP",4,0,0,3,1,4
"AGT",0,0,4,0,0,1
"AGTPBP1",2252,470,434,1922,855,1164
"AGTR1",4,0,0,3,39,0
"AGTR2",0,0,0,1,0,0
"AGTRAP",326,263,462,377,489,760
"AGXT",0,30,1,1,58,8
"AGXT2",0,0,0,0,0,0
"AHCTF1",1129,873,1186,1989,757,1484
"AHCTF1P1",30,17,28,47,15,36
"AHCY",1688,1653,1737,2681,4409,1886
"AHCYL1",1030,1183,714,1276,2783,3695
"AHCYL2",318,323,25,132,731,642
"AHDC1",442,1169,171,916,818,612
"AHI1",521,353,433,403,372,742
"AHNAK",2483,4414,5568,8882,4671,1086
"AHNAK2",108,10,2,32,19,3
"AHR",3656,3867,1050,976,676,8356
"AHRR",120,789,1,9,3,5
"AHSA1",863,377,1105,820,2124,2034
"AHSA2",3082,1887,1171,987,2222,2368
"AHSG",0,0,1,0,0,0
"AHSP",2575,1742,19855,4979,638,48
"AICDA",0,0,3,0,0,0
"AIDA",149,151,375,195,373,225
