"","DS_01_58500","DS_02_48905","DS_03_52613","M7_01_817151","M7_02_818438","M7_03_817389"
"CLCN4",1.99944076369244,1.09560686410278,2.82878535431479,2.69490723878691,6.38278383178041,1.48869462561075
"CLCN5",1.89383057573185,2.6650979560615,2.70024123369373,2.77308591478387,2.84251156806454,2.98984728267819
"CLCN6",4.46349394007012,4.4392989332818,4.3293366710435,4.60603155521535,3.76598216031003,4.00460300912433
"CLCN7",7.41514111390916,7.41796770259412,7.64540184622996,5.23625993510698,4.94784677506386,5.45148354651368
"CLDN12",1.76663855927807,2.88804579416742,2.45263686842954,0.838180943005751,2.34694273047369,2.9735761135037
"CLDN15",3.38663027801817,2.81281716312238,4.20729697756852,3.38837802556623,3.77130085772901,4.90444757000264
"CLDN5",-3.67298457827905,1.02464034274864,-0.294597061190494,-1.80870930685861,1.36464473220715,-1.54998584255331
"CLDN9",0.414478262971289,-1.01219642543173,0.130708773542177,1.14303552453417,-0.888570612596202,0.434246841588374
"CLDND1",5.97914334945922,6.49696427399306,5.20274157422291,5.61180500775081,4.59280643636723,4.99724401081274
"CLDND2",1.6124176405832,1.73715289319031,1.99397243675044,0.00945237015558027,0.824715985100493,0.526365043576805
"CLEC11A",4.75746797338648,6.18679891561892,7.54208453213662,8.22580008874676,7.9865893770718,9.22984054935543
"CLEC12A",4.54521536541569,2.84749900250709,2.86613876879716,2.74749420088113,3.07533358890188,1.50388102942543
"CLEC12B",2.19984418125583,-0.315588568881667,0.725867041369222,-0.699084815684108,-1.10538200166935,-1.98608495735998
"CLEC16A",3.81726463234803,4.25265057424836,4.35911813078495,3.8244771403729,4.37428903761496,4.73461197425805
"CLEC17A",-0.322487331194918,-4.28521491983815,-1.51698948252694,1.30968539394362,-0.248746176840528,-0.788145579748074
"CLEC1B",-1.35105648339169,-2.70025241911699,-2.61652515607786,0.572719799777417,5.00427220852668,-0.864094432981373
"CLEC2B",4.90368871423752,5.6231777009356,5.80433736415797,5.22239331614746,3.39079702006311,6.11535007463187
"CLEC2D",3.74486793660685,1.99400872409498,1.39629888427973,3.70325136291964,3.19097618662129,4.26072548669687
"CLEC4A",1.40596676311577,-0.740894403614338,-0.900318122078447,0.954590435121062,-0.206310910520131,0.301491632736602
"CLEC4D",-4.40995017244526,-4.28521491983815,0.842906462559441,1.97126917626769,-1.45685437217073,-1.98608495735998
"CLEC5A",3.23630850754477,1.20663817649153,1.23433140461633,2.45511583346519,-1.10538200166935,-0.715995793992239
"CLEC7A",2.99092926383693,2.92098546799571,-1.17595256469187,3.25851274195411,2.23591141808494,1.97630075084024
"CLECL1",3.94906724117733,0.572766075289424,-5.42388007813546,1.89173041128249,2.7858269717069,-0.581694702280648
"CLGN",0.0274551398620413,-3.54824932567194,2.61503891115684,2.35699110872198,1.37865159020103,1.2210729502813
"CLHC1",1.14463867923238,1.07233708477994,1.11527873297257,1.12327226971274,2.17300466652475,2.9008667911952
"CLIC1",7.73119902599226,8.91440630819693,8.29561570021787,7.96841620536945,8.6195465977639,7.91575799369659
"CLIC2",-0.63736066854833,3.88303932861965,3.25911450554622,4.47766606215244,2.76997302050606,-0.0962678751104059
"CLIC4",5.00719910331344,5.48572421776911,6.39270362965211,6.41782964383044,5.78155036715435,6.09104491810204
"CLINT1",7.08340494904965,6.85284351125273,6.65593800707689,7.26006897112681,5.88698224936962,6.09606408399389
"CLIP1",4.94540092397956,5.0789197351699,4.54909970793083,5.18475054369674,4.37078947242806,4.50482489275048
"CLIP2",6.39606233298912,6.62692593645757,3.59014039217947,5.05384648951403,6.19469224012485,6.81348237463735
"CLIP4",1.56732975105466,5.32765357745289,1.49498315913913,0.451157819896504,0.0602040640486246,-0.518958946932685
"CLK1",8.03065949430317,8.39682866943587,9.24428470814215,7.88193200684168,6.26942252044627,8.18715125747274
"CLK2",5.26659463603564,5.07306997534225,5.09870145311937,4.48542772198125,4.89766101789565,5.2523197819651
"CLK3",6.09354433031981,6.44015133805749,6.9536016100475,6.45190077504513,4.52200399245042,5.74463490633832
"CLK4",4.9067084851797,5.14454050930071,4.76470876757189,5.2882138636408,3.35582088182014,5.12059344025281
"CLMN",1.29970807572521,4.55503848274008,2.01074814950126,2.02551222105168,0.650948917363787,1.64755139009686
"CLN3",4.8308411597167,5.88512746770309,4.37215953069431,4.06619117450547,4.45747920662335,4.99992435536614
"CLN5",3.60313982699519,4.09992847005288,3.36075476742206,3.49986923436974,3.22626124805122,3.25063274800842
"CLN6",4.36373852772647,3.54556434773079,5.74165506324246,4.80677513863945,5.30584267483711,6.24527742178938
"CLN8",4.62071696380168,4.82765893740307,4.10555047601069,4.32598720627272,2.97287701225115,3.87335847584608
